antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Elfen Lied'}),frozenset({'Death Note'}),0.3606829933330008,0.5460787736711723,0.25863301577801057,0.7170646261639164,1.3131157275043714,1.0,0.06167168909467788,1.6043282965098717,0.37298006642432213,0.39904573788574516,0.3766861793964208,0.5953415686764171
frozenset({'Sword Art Online II'}),frozenset({'No Game No Life'}),0.1726270636939498,0.2521655277902472,0.1236969424908973,0.7165559086969084,2.8416092991621915,1.0,0.08016634786363183,2.638384412148781,0.7833066671463502,0.4108227498619548,0.620980174308425,0.6035472890883501
frozenset({'Nisekoi'}),frozenset({'Angel Beats!'}),0.13899280097095448,0.3772257967978453,0.09947295791976325,0.7156698564593302,1.8971922454255072,1.0,0.047041287824330626,2.1903207146697583,0.549246613320552,0.2386898587728397,0.543445855530443,0.489682960315698
frozenset({'Kuroshitsuji'}),frozenset({'Death Note'}),0.20237085806440885,0.5460787736711723,0.14467887010158445,0.7149194873480119,1.309187468580328,1.0,0.034168440102989195,1.5922562440560497,0.29608678962950064,0.239625499105053,0.3719603840568776,0.4899304393658921
frozenset({'Soul Eater'}),frozenset({'Death Note'}),0.26689610454386753,0.5460787736711723,0.190799208605583,0.7148819535289355,1.3091187352383888,1.0,0.04505291113865481,1.5920466345328104,0.3220926113155103,0.3066645288867511,0.37187769609936566,0.5321403221747281
frozenset({'Hyouka'}),frozenset({'Toradora!'}),0.14366468818062414,0.3378555871448285,0.1024656258832527,0.7132276356903137,2.1110428917801927,1.0,0.05392770830600923,2.3089547503961008,0.6145962625672556,0.27031887363480855,0.5669035957380931,0.508254977236919
frozenset({'Guilty Crown'}),frozenset({'Angel Beats!'}),0.1907160789399305,0.3772257967978453,0.13601675894059553,0.7131897829308691,1.890617738725505,1.0,0.06407373410031948,2.1713808160887282,0.5820853923669956,0.31490819508064205,0.539463555820999,0.5368804924174377
frozenset({'Mirai Nikki (TV)'}),frozenset({'Death Note'}),0.2933147122882272,0.5460787736711723,0.20903785724973814,0.7126742999659902,1.3050759969570531,1.0,0.04886491886367031,1.5798142187597508,0.3307852890794036,0.33161892704541857,0.36701417918300533,0.5477361452638597
frozenset({'Dragon Ball'}),frozenset({'Death Note'}),0.18539578033817147,0.5460787736711723,0.13202653498927627,0.7121334409470003,1.3040855555682516,1.0,0.030785834618397553,1.5768459796862173,0.2862483889959576,0.2202468450977673,0.36582265301586786,0.47695270007465707
frozenset({'Samurai Champloo'}),frozenset({'Death Note'}),0.19769897085473923,0.5460787736711723,0.14072189801652618,0.7117988394584139,1.303472820730864,1.0,0.03276268645611735,1.5750152618255298,0.2901886834527448,0.2333480370533745,0.36508551743114875,0.48474703732701485
frozenset({'Sakurasou no Pet na Kanojo'}),frozenset({'Shingeki no Kyojin'}),0.16499576038705172,0.4055730127853426,0.11736246196817797,0.7113059250302298,1.7538295266374204,1.0,0.05044463433119292,2.0590203913152747,0.5147508664691642,0.258960343372831,0.5143321531841588,0.500340180683517
frozenset({'Tonari no Totoro'}),frozenset({'Howl no Ugoku Shiro'}),0.1704823183201157,0.23716893610653897,0.12121967845445325,0.7110395943046616,2.998030037058709,1.0,0.0807865683934951,2.6399155346485146,0.8034158316187948,0.4232064081727421,0.6212000017140159,0.6110753527078863
frozenset({'Kuroko no Basket'}),frozenset({'Death Note'}),0.15671604568806424,0.5460787736711723,0.11137712604119906,0.710693825588797,1.3014492777497144,1.0,0.025797819997265534,1.568999442381933,0.2746712248163392,0.18832227594737433,0.36265114378761165,0.45732590503065973
frozenset({'Nisekoi'}),frozenset({'Toradora!'}),0.13899280097095448,0.3378555871448285,0.09875804279515188,0.7105263157894738,2.103047404940184,1.0,0.05179854841420577,2.2874079716815023,0.6091697544571819,0.26120223385075414,0.5628239420426224,0.5014173825884035
